itemName,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,prvItemsViewed,prvItemsPurchased,prvItemsAddedToCart,prvItemRevenue,ProductGrowthRate,VisitsGrowthRate
Hand-forged Metal Sculptural Candle Holder,6,0,0,0,3,0,0,0,0.0,1.0
Carved Wooden Candle Holders and Bowl Set | Sweden | 1970s,1,0,0,0,2,0,0,0,0.0,-0.5
Carved Dark Oak Bench | France | 1960s,7,0,0,0,7,0,0,0,0.0,0.0
Dewdrop® Vase,5,0,0,0,2,0,0,0,0.0,1.5
Dewdrop® Vase,5,0,0,0,2,0,0,0,0.0,1.5
Dewdrop® Vase,5,0,0,0,2,0,0,0,0.0,1.5
Dewdrop® Vase,5,0,0,0,2,0,0,0,0.0,1.5
Cocoon Cup,6,0,0,0,8,0,0,0,0.0,-0.25
Cocoon Cup,6,0,0,0,8,0,0,0,0.0,-0.25
Cocoon Cup,6,0,0,0,8,0,0,0,0.0,-0.25
Cocoon Cup,6,0,0,0,8,0,0,0,0.0,-0.25
Free Blown Glass Carafe,1,0,0,0,6,0,0,0,0.0,-0.8333333333333334
Free Blown Glass Carafe,1,0,0,0,6,0,0,0,0.0,-0.8333333333333334
Free Blown Glass Carafe,1,0,0,0,6,0,0,0,0.0,-0.8333333333333334
Pebble Stack®,7,0,0,0,7,0,0,0,0.0,0.0
Pebble Stack®,7,0,0,0,7,0,0,0,0.0,0.0
Pebble Stack®,7,0,0,0,7,0,0,0,0.0,0.0
Pebble Stack®,7,0,0,0,7,0,0,0,0.0,0.0
Pebble Stack®,7,0,0,0,7,0,0,0,0.0,0.0
Set of 3 Highballs,5,0,0,0,3,0,0,0,0.0,0.6666666666666666
Set of 2 Tumblers,4,0,0,0,7,0,0,0,0.0,-0.42857142857142855
Set of 2 Tumblers,4,0,0,0,7,0,0,0,0.0,-0.42857142857142855
Set of 2 Tumblers,4,0,0,0,7,0,0,0,0.0,-0.42857142857142855
Set of 2 Tumblers,4,0,0,0,7,0,0,0,0.0,-0.42857142857142855
Set of 2 Highballs,2,0,0,0,0,0,0,0,0.0,0.0
Set of 2 Highballs,2,0,0,0,0,0,0,0,0.0,0.0
Set of 2 Highballs,2,0,0,0,0,0,0,0,0.0,0.0
Set of 2 Highballs,2,0,0,0,0,0,0,0,0.0,0.0
Small Stem Vase,4,0,0,0,6,0,0,0,0.0,-0.3333333333333333
Small Stem Vase,4,0,0,0,6,0,0,0,0.0,-0.3333333333333333
Dish On Foot .2,4,0,0,0,10,0,0,0,0.0,-0.6
Geometric Vase by Gustave Tiffoche,13,0,0,0,18,0,0,0,0.0,-0.2777777777777778
Ceramic Bottle by Jacques Pouchain,6,0,0,0,11,0,0,0,0.0,-0.45454545454545453
Ceramic Bottle by Jacques Pouchain,6,0,0,0,11,0,0,0,0.0,-0.45454545454545453
Art-Deco Floor Lamp,53,0,0,0,84,0,0,0,0.0,-0.36904761904761907
System Magazine Issue No. 13,1,0,0,0,0,0,0,0,0.0,0.0
Medium Vase in Smoke,6,0,0,0,8,0,0,0,0.0,-0.25
Small Vase in Moon 2,8,0,0,0,12,0,0,0,0.0,-0.3333333333333333
Medium Vase in Moon,3,0,0,0,7,0,0,0,0.0,-0.5714285714285714
XLarge Vase in Feathered Taupe,23,0,0,0,19,0,0,0,0.0,0.21052631578947367
XLarge Vase in Smoke,3,0,0,0,5,0,0,0,0.0,-0.4
Small Vase in Stone,3,0,0,0,13,0,0,0,0.0,-0.7692307692307693
XLarge Vase in Ghost,2,0,0,0,6,0,0,0,0.0,-0.6666666666666666
XLarge Vase in Feathered Taupe,23,0,0,0,19,0,0,0,0.0,0.21052631578947367
XXLarge Vase in Elephant,4,0,0,0,6,0,0,0,0.0,-0.3333333333333333
Small Vase in Moon 2,8,0,0,0,12,0,0,0,0.0,-0.3333333333333333
Medium Vase in Chocolate,4,0,0,0,9,0,0,0,0.0,-0.5555555555555556
Modernist Ceramic Vase,1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
Porcelain Candle Holder 1920's,1,0,0,0,2,0,0,0,0.0,-0.5
Krosno Vase,7,0,0,0,2,0,0,0,0.0,2.5
Decorative Ball,6,0,0,0,8,0,0,0,0.0,-0.25
Set of Four Mouthblown Water Glass,13,0,0,0,17,0,1,0,0.0,-0.23529411764705882
"Dott Stool, Natural",29,0,0,0,42,0,1,0,0.0,-0.30952380952380953
Silver Modernist Candleholder,19,0,1,0,0,0,0,0,0.0,0.0
"The Beginning Of Autumn - Acrylic, oil pastel, charcoal on canvas",14,0,1,0,5,0,0,0,0.0,1.8
Dish on Foot .1,3,0,0,0,1,0,0,0,0.0,2.0
"Ice Cube Lighter by Antonio Imperatore, Murano Glass",18,0,2,0,13,0,0,0,0.0,0.38461538461538464
French Tassel Spoon,27,0,3,0,20,0,0,0,0.0,0.35
Triangular Studio Tray,12,0,1,0,10,0,0,0,0.0,0.2
Vintage Latin American Folk Art Serving Spatula,5,0,0,0,4,0,0,0,0.0,0.25
Vintage Aluminum Candle Holders,2,0,0,0,5,0,0,0,0.0,-0.6
"Something(s) in the air, 2024",135,0,0,0,68,0,2,0,0.0,0.9852941176470589
"Literary - Acrylic, oil pastel. dry pastel, charcoal on canvas",11,0,0,0,10,0,0,0,0.0,0.1
"Dott Stool, Ebony",28,0,1,0,20,0,0,0,0.0,0.4
Harald Notini Decanter 1930s,0,0,0,0,0,0,0,0,0.0,0.0
"Ice cube lighter by Antonio Imperatore, murano glass, Italy, 1970",12,0,0,0,12,0,0,0,0.0,0.0
Round Scallop Tray Galaxy,15,0,1,0,10,0,0,0,0.0,0.5
German Candle Holders Pair,15,0,2,0,4,0,0,0,0.0,2.75
Spécial Cocteau Vintage Book,7,0,0,0,4,0,1,0,0.0,0.75
"Large Vase by Gunnar Nylund, 1960s",9,0,0,0,1,0,1,0,0.0,8.0
Riesiger Spiral metal Candelabra,3,0,1,0,7,0,0,0,0.0,-0.5714285714285714
"The Greek World: Classical, Byzantine, and Modern",3,0,0,0,3,0,0,0,0.0,0.0
Holding - Acrylic on linen,9,0,0,0,8,0,0,0,0.0,0.125
Vision de Altamar - Mixed media on canvas,10,0,1,0,4,0,0,0,0.0,1.5
Green Onyx Lamp C.1970,9,0,2,0,7,0,0,0,0.0,0.2857142857142857
German Art Deco Cloud Glass Bowl with pointed rim around 1930,7,0,0,0,2,0,0,0,0.0,2.5
small German Art Deco Cloud Glass Bowl around 1930,8,0,1,0,9,0,0,0,0.0,-0.1111111111111111
Set of Four Postmodern Candle Holders,2,0,0,0,7,0,0,0,0.0,-0.7142857142857143
Set of Four Italian Candleholders 80's,23,0,5,0,16,0,1,0,0.0,0.4375
Perséphone Ashtray,5,0,1,0,18,0,2,0,0.0,-0.7222222222222222
Rustic Solid Karelian Birch Stool | Latvia | 1950s,4,0,0,0,3,0,0,0,0.0,0.3333333333333333
Vintage Danish Candelabra,12,0,1,0,11,0,1,0,0.0,0.09090909090909091
"Swedish Art Deco Mirror, 1930s",30,0,1,0,23,0,2,0,0.0,0.30434782608695654
German Art Deco Cloud Glass Foot Bowl,0,0,0,0,0,0,0,0,0.0,0.0
Antique Silver Plate and Bakerlite Bread Fork,24,0,1,0,13,0,1,0,0.0,0.8461538461538461
"Daydreaming - Acrylic, oil pastel, charcoal on canvas",9,0,1,0,3,0,1,0,0.0,2.0
"Isolated calm - Acrylic, oil pastel, charcoal on canvas",8,0,0,0,2,0,1,0,0.0,3.0
European Large Carved Vase,7,0,0,0,2,0,0,0,0.0,2.5
European Verdigris Large Vase,6,0,0,0,3,0,0,0,0.0,1.0
Dawn Grey - Acrylic on linen,3,0,0,0,7,0,0,0,0.0,-0.5714285714285714
Marmont Coffee Table Burl Wood,31,0,4,0,34,0,0,0,0.0,-0.08823529411764706
Cubo Side Table,89,0,1,0,52,0,0,0,0.0,0.7115384615384616
"Mid-Century Ceramic Candlesticks, Sweden, 1950s",4,0,0,0,1,0,0,0,0.0,3.0
Modernist Metal Candle Holders Pair,5,0,0,0,7,0,0,0,0.0,-0.2857142857142857
Twisted Tumbler - Set of 4,2,0,0,0,3,0,2,0,0.0,-0.3333333333333333
Twisted Wineglass - Set of 4,8,0,1,0,5,0,2,0,0.0,0.6
Jumeaux Drawer Burl Wood,11,0,0,0,10,0,0,0,0.0,0.1
Wild Silence,18,0,1,0,11,0,1,0,0.0,0.6363636363636364
Set of 3 70's Italian floor vases,5,0,1,0,6,0,1,0,0.0,-0.16666666666666666
Antique Silver Plate Serving Fork,0,0,1,0,9,0,0,0,0.0,-1.0
"Contours - Acrylic, oil pastel, dry pastel, charcoal on canvas",5,0,0,0,2,0,0,0,0.0,1.5
Karl Lagerfeld: A Life in Houses,55,0,0,0,36,0,1,0,0.0,0.5277777777777778
Twisted Tumbler On Foot - Set of 4,5,0,0,0,7,0,1,0,0.0,-0.2857142857142857
Twisted Flute - Set of 4,2,0,0,0,3,0,0,0,0.0,-0.3333333333333333
As Night Draws In,12,0,0,0,11,0,1,0,0.0,0.09090909090909091
"Genre Oil Painting ""Port"" | Leonid Moshenkov | Latvia | 1980s",0,0,0,0,0,0,0,0,0.0,0.0
Psychedelic Wall Scone,225,0,4,0,102,0,1,0,0.0,1.2058823529411764
Desk Lamp by Carlos M. Serra for Carpyen 70s,5,0,1,0,10,0,0,0,0.0,-0.5
Antique Silver Plated Bread Fork,4,0,2,0,7,0,0,0,0.0,-0.42857142857142855
1930's Table Lamp,12,0,0,0,15,0,0,0,0.0,-0.2
Pair of Brutalist Candleholders,10,0,1,0,6,0,0,0,0.0,0.6666666666666666
"Something(s) in the air, 2024",135,0,0,0,68,0,2,0,0.0,0.9852941176470589
Diagonal Longue Blanc Cushion,2,0,0,0,1,1,0,150,-1.0,1.0
Pair of Park Night Stands in Poplar Burl,121,0,4,0,84,0,1,0,0.0,0.44047619047619047
Ruota Coffee Table Burl Wood,17,0,1,0,6,0,0,0,0.0,1.8333333333333333
Guillemets Bedside Cabinet,9,0,3,0,2,0,0,0,0.0,3.5
Serif Desk Burl Wood,18,0,1,0,23,0,0,0,0.0,-0.21739130434782608
Arc Stool,33,0,0,0,32,0,0,0,0.0,0.03125
Arc Stool,33,0,0,0,32,0,0,0,0.0,0.03125
Arc Stool,33,0,0,0,32,0,0,0,0.0,0.03125
English Art Deco Pewter Tea Set,2,0,0,0,1,0,0,0,0.0,1.0
Therapeutic Wall Light 3,2,0,0,0,0,0,0,0,0.0,0.0
Therapeutic Wall Light 2,3,0,0,0,1,0,0,0,0.0,2.0
Therapeutic Wall Light 1,8,0,0,0,1,0,0,0,0.0,7.0
"Vide-poches ""Cloverleaf"" 80's",0,0,0,0,0,0,0,0,0.0,0.0
Mega Mug - Large,35,0,5,0,48,0,6,0,0.0,-0.2708333333333333
Art Deco Cups,16,0,1,0,13,0,0,0,0.0,0.23076923076923078
Glass Decanter,19,0,2,0,6,0,0,0,0.0,2.1666666666666665
Bishop - Chess Piece Numbered 9/15 - 2010,0,0,0,0,0,0,0,0,0.0,0.0
Puerto Escondido by Bastien Lattanzio,11,0,0,0,5,0,0,0,0.0,1.2
Vondel Side Table in Travertine,24,0,0,0,11,0,0,0,0.0,1.1818181818181819
Rambo Drawers Console Burl Wood,30,0,1,0,19,0,0,0,0.0,0.5789473684210527
Charles Grand Chest of Drawers Burl Wood,5,0,1,0,2,0,0,0,0.0,1.5
Calisto Double Bookcase Burl Wood,17,0,1,0,9,0,0,0,0.0,0.8888888888888888
Nini Lamp,1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
Brushed Steel Wine Rack by François Monnet 70's,14,0,0,0,15,0,1,0,0.0,-0.06666666666666667
Vintage Onyx Table Lamp,7,0,0,0,13,0,1,0,0.0,-0.46153846153846156
Mid-Century Travertine Stone and Metal Lamp,16,0,0,0,6,0,0,0,0.0,1.6666666666666667
"Large vide-poches blue ""Diamond"" by Flavio Poli 60's",0,0,0,0,0,0,0,0,0.0,0.0
Ibiza Memories by Henry Roy,2,0,0,0,4,0,0,0,0.0,-0.5
USO Floor Lamp,84,0,0,0,110,0,0,0,0.0,-0.23636363636363636
USO Floor Lamp,84,0,0,0,110,0,0,0,0.0,-0.23636363636363636
USO Floor Lamp,84,0,0,0,110,0,0,0,0.0,-0.23636363636363636
Liqueur Glass - Set of 4,1,0,0,0,8,0,0,0,0.0,-0.875
Luna Console Table,19,0,1,0,6,0,0,0,0.0,2.1666666666666665
Dymo Bedside Burl Wood Tables Pair,8,0,1,0,2,0,0,0,0.0,3.0
Jumeaux Grand Drawer Burl Wood,3,0,0,0,8,0,0,0,0.0,-0.625
Ramona Bookcase Burl Wood,20,0,0,0,8,0,0,0,0.0,1.5
Smokey Grey Champagne Glasses by Luminarc,4,0,1,0,7,0,0,0,0.0,-0.42857142857142855
Smokey Grey Champagne Glasses by Luminarc,4,0,1,0,7,0,0,0,0.0,-0.42857142857142855
Large Vintage Onyx Lamp,2,0,0,0,4,0,0,0,0.0,-0.5
Marble Vase,1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
"""Feels Like Home"" Floor Lamp - USA",1,0,0,0,0,0,0,0,0.0,0.0
"""Feels Like Home"" Floor Lamp - USA",1,0,0,0,0,0,0,0,0.0,0.0
"""Feels Like Home"" Floor Lamp - USA",1,0,0,0,0,0,0,0,0.0,0.0
Riviera Plinth Tall in Oiled African Mahogany,12,0,0,0,8,0,1,0,0.0,0.5
Palma Stool Burl Wood,5,0,0,0,5,0,0,0,0.0,0.0
Minerva Plinth Burl Wood,2,0,0,0,1,0,0,0,0.0,1.0
Orbis Glass Round Table Burl Wood,9,0,0,0,5,0,0,0,0.0,0.8
Papilio Console Burl Wood,15,0,0,0,7,0,0,0,0.0,1.1428571428571428
"""Trefoil"" shaped vide-poches 80's",0,0,0,0,0,0,0,0,0.0,0.0
The Beige Set of 5 Art and Design Books,18,0,0,0,11,1,0,450,-1.0,0.6363636363636364
"Rhubarb, Acrylic on canvas, 2021",4,0,0,0,4,0,1,0,0.0,0.0
Pair of Various Positions Nightstands,83,0,2,0,92,1,2,6044.6,-1.0,-0.09782608695652174
Set of Three Liqueur Coupes,4,0,1,0,11,0,0,0,0.0,-0.6363636363636364
"Set of Three Crystal Dessert Coupes, Rosenthal Berlin",7,0,1,0,3,0,0,0,0.0,1.3333333333333333
"Eos, Acrylic on canvas, 2024",5,0,0,0,2,0,0,0,0.0,1.5
The Posters of Picasso,12,0,0,0,14,1,1,849,-1.0,-0.14285714285714285
Michele Jug,7,0,0,0,4,0,0,0,0.0,0.75
Michele Jug,7,0,0,0,4,0,0,0,0.0,0.75
Jewelled Goblet no. 9 x Lindsey Fontijn,10,0,0,0,4,0,1,0,0.0,1.5
Art Deco Revival candlesticks,3,0,0,0,11,0,0,0,0.0,-0.7272727272727273
Henri Matisse Vintage Book -  Illustrated Publication,4,0,1,0,2,0,1,0,0.0,1.0
Crystal Decanter,3,0,0,0,9,0,1,0,0.0,-0.6666666666666666
Set of Six Red Shot Glasses by Luminarc France,12,0,0,0,9,0,1,0,0.0,0.3333333333333333
Jewelled Goblet no. 5 x Lindsey Fontijn,27,0,1,0,0,0,0,0,0.0,0.0
Reusable Linen Produce Bag 'You Are The Apple Of My Eye',8,0,3,0,4,0,0,0,0.0,1.0
1960s Sputnik Age Table Lamp,11,0,0,0,2,0,0,0,0.0,4.5
6 Italian Art Deco Revival Crystal Glasses,0,0,0,0,0,0,0,0,0.0,0.0
Double Espresso Coffee Table,239,0,6,0,248,0,8,0,0.0,-0.036290322580645164
Double Espresso Coffee Table,239,0,6,0,248,0,8,0,0.0,-0.036290322580645164
Double Espresso Coffee Table,239,0,6,0,248,0,8,0,0.0,-0.036290322580645164
Set of Five Vintage Flute,7,0,0,0,3,0,0,0,0.0,1.3333333333333333
"Rare Portuguese Crystal Pen Holder, by Atlantis Portugal",5,0,0,0,4,0,0,0,0.0,0.25
Michele Bowl Small,7,0,0,0,11,1,2,219.464763,-1.0,-0.36363636363636365
Jewelled Goblet no. 8 x Lindsey Fontijn,3,0,1,0,1,0,0,0,0.0,2.0
Brutalist Oak Coffee Table | Netherlands | 1970s,10,0,0,0,20,0,0,0,0.0,-0.5
Postmodern Brass Candleholder,1,0,0,0,8,0,0,0,0.0,-0.875
English three flame candleholder,4,0,0,0,0,0,0,0,0.0,0.0
Reusable Linen Produce Bag 'Trust Your Gut',11,0,2,0,5,0,0,0,0.0,1.2
Picasso and Jacqueline,2,0,0,0,0,0,0,0,0.0,0.0
That's the way I see it: David Hockney,7,0,0,0,3,0,0,0,0.0,1.3333333333333333
"Untitled Acrylic on Canvas, 2024",5,0,1,0,10,0,0,0,0.0,-0.5
Appearances by Mark Holborn - Vintage book,7,0,1,0,7,0,0,0,0.0,0.0
Jewelled Goblet no. 7 x Lindsey Fontijn,3,0,0,0,1,0,0,0,0.0,2.0
Jewelled Goblet no. 4 x Lindsey Fontijn,2,0,0,0,3,0,0,0,0.0,-0.3333333333333333
Jewelled Goblet no. 10 x Lindsey Fontijn,1,0,0,0,0,0,0,0,0.0,0.0
Jewelled Goblet no. 3 x Lindsey Fontijn,0,0,0,0,0,0,0,0,0.0,0.0
Jewelled Goblet no. 6 x Lindsey Fontijn,0,0,0,0,0,0,0,0,0.0,0.0
Wall lamp MOOR PLUS BRILLANCE,37,0,2,0,27,0,1,0,0.0,0.37037037037037035
Wall lamp MOOR PLUS BRILLANCE,37,0,2,0,27,0,1,0,0.0,0.37037037037037035
Buff Titanium - Oil on canvas,45,0,2,0,54,0,1,0,0.0,-0.16666666666666666
"Art Deco ""Ghost"" Lamp",0,0,1,0,0,0,0,0,0.0,0.0
"Fig, Acrylic on canvas, 2024",9,0,0,0,5,0,0,0,0.0,0.8
Teak Daybed Sofa by Gustaf Hiort Af Ornäs | Finland | 1950s,46,0,1,0,40,0,0,0,0.0,0.15
Sedia Tonda,62,0,0,0,35,0,0,0,0.0,0.7714285714285715
Sedia Tonda,62,0,0,0,35,0,0,0,0.0,0.7714285714285715
Ribbon Vase in Black,37,0,0,0,28,0,3,0,0.0,0.32142857142857145
Minho Mirror,38,0,2,0,10,0,0,0,0.0,2.8
Minho Mirror,38,0,2,0,10,0,0,0,0.0,2.8
Objets Affectifs: Le Nouveau Design de la Table,3,0,0,0,1,0,0,0,0.0,2.0
1980s silver-plated foot bowl,3,0,1,0,5,0,0,0,0.0,-0.4
Vintage Guzzini Lamp,14,0,0,0,9,0,0,0,0.0,0.5555555555555556
Stainless Steel Mug,21,0,5,0,14,2,3,65.68,-1.0,0.5
Woven Basket,6,0,1,0,1,0,0,0,0.0,5.0
The Impressionists - The Great Century of French Art,11,0,0,0,11,0,1,0,0.0,0.0
Pierre Yovanovitch: Interior Architecture,7,0,1,0,5,0,0,0,0.0,0.4
Mouth Blown Water Glasses - Set Of Two,11,0,0,0,9,0,0,0,0.0,0.2222222222222222
Blue “Diamant” ashtray in murano glass by Flavio Poli for Seguso 60's,6,0,1,0,2,0,0,0,0.0,2.0
Red Murano glass “Fleur” 60's,4,0,1,0,1,0,0,0,0.0,3.0
"Bougeoir italien ""Medusa"" en métal doré 70's",0,0,0,0,0,0,0,0,0.0,0.0
Vintage Mappin and Webb Silver Plate Serving Dish,7,0,0,0,3,0,0,0,0.0,1.3333333333333333
Stylish Pair of Postmodern Chrome Candleholders,2,0,0,0,1,0,0,0,0.0,1.0
Vintage French Nickel and Brass Serving Dish,3,0,0,0,1,0,0,0,0.0,2.0
Art Deco Candleholder,3,0,0,0,5,0,0,0,0.0,-0.4
Two Swan Candleholders,13,0,0,0,10,0,1,0,0.0,0.3
Panel Wall Lamp – Montenegro,95,0,5,0,0,0,0,0,0.0,0.0
Vase Liens n°3,5,0,1,0,6,0,0,0,0.0,-0.16666666666666666
Carved Wood Bobbin Chair and Table Set | Sweden | 1960s,16,0,2,0,24,0,1,0,0.0,-0.3333333333333333
Cloud Cup,8,0,2,0,9,0,0,0,0.0,-0.1111111111111111
Ruth Van Beek The Oldest Thing,4,0,0,0,4,0,0,0,0.0,0.0
Marc Chagall - Lithographs Vintage Book,6,0,0,0,4,0,0,0,0.0,0.5
Dolores Bowl/Catch All (Cacao),7,0,1,0,6,0,1,0,0.0,0.16666666666666666
Large clear Murano glass vide-poches 80's,6,0,0,0,3,0,0,0,0.0,1.0
Vide-poches “Flower” in black Murano glass 60's,1,0,0,0,4,0,0,0,0.0,-0.75
Large circular vide-poches by Fontana Arte 60's,3,0,0,0,4,0,0,0,0.0,-0.25
Murano glass Vide-poches Venini by Osvaldo Borsani,3,0,0,0,2,0,0,0,0.0,0.5
80s fruit coupe,2,0,0,0,1,0,0,0,0.0,1.0
Pair of 90's Candleholders,2,0,0,0,4,0,0,0,0.0,-0.5
Blue Murano Glass Vide-poche 60's,1,0,0,0,1,0,0,0,0.0,0.0
Shell-Shaped Swan Serving Dish,20,0,0,0,3,0,0,0,0.0,5.666666666666667
Art Deco Candelabra,2,0,0,0,5,0,0,0,0.0,-0.6
Art Nouveau Plate With Dishes,7,0,0,0,6,0,0,0,0.0,0.16666666666666666
"Whispers of dreams - Acrylic, oil pastel, dry pastel, charcoal",25,0,0,0,6,0,0,0,0.0,3.1666666666666665
Hockney Posters by David Hockney,6,0,0,0,1,0,0,0,0.0,5.0
Galileo 2.0,10,0,1,0,5,0,0,0,0.0,1.0
Galileo 2.0,10,0,1,0,5,0,0,0,0.0,1.0
Antique Glazed Lamp,34,0,0,0,19,0,0,0,0.0,0.7894736842105263
FL-amy 3.4 Candle Holder,2,0,0,0,0,0,0,0,0.0,0.0
Georg Baselitz: La Boussole Indique Le Nord,7,0,0,0,4,0,0,0,0.0,0.75
Bucati Candle Holder (brushed aluminium),21,0,2,0,13,0,2,0,0.0,0.6153846153846154
Silver Plated Cake Server,11,0,1,0,3,0,1,0,0.0,2.6666666666666665
Blue Table Painting,49,0,2,0,15,0,1,0,0.0,2.2666666666666666
Jean Arp at Louisiana,5,0,1,0,1,0,0,0,0.0,4.0
Jean Arp at Louisiana,5,0,1,0,1,0,0,0,0.0,4.0
Panel Wall Lamp – Wheat Field,35,0,3,0,0,0,0,0,0.0,0.0
"4 Postmodern ""Tokyo"" Chairs by Rodney Kinsman | Italy | 1980s",3,0,1,0,0,0,0,0,0.0,0.0
"Deadly flirt - Acrylic, oil pastel, dry pastel, charcoal",24,0,0,0,5,0,0,0,0.0,3.8
Figure Side Table 04,139,0,1,0,80,0,2,0,0.0,0.7375
Figure Side Table 04,139,0,1,0,80,0,2,0,0.0,0.7375
The Phone Box,9,0,0,0,12,0,0,0,0.0,-0.25
Bubbly Candleholders,3,0,0,0,2,0,0,0,0.0,0.5
Table Lamp Half-sphere M MOOR,4,0,0,0,4,0,0,0,0.0,0.0
Charcoal Grey Opal Disk Ceiling Light,18,0,1,0,9,0,1,0,0.0,1.0
Winston Server in Walnut,75,0,3,0,80,0,1,0,0.0,-0.0625
White Table Painting,12,0,2,0,6,0,0,0,0.0,1.0
The Kitchen at Villa Cavrois - Print Photograpy,8,0,0,0,5,0,0,0,0.0,0.6
The Kitchen at Villa Cavrois - Print Photograpy,8,0,0,0,5,0,0,0,0.0,0.6
Vase Liens n°9,19,0,0,0,9,0,0,0,0.0,1.1111111111111112
Set of 2 Green Wooden Sculptural Wall Decoration,12,0,1,0,1,0,1,0,0.0,11.0
Just Andersen Candelabra 1930s,5,0,0,0,2,0,0,0,0.0,1.5
Studio Eldink holder,12,0,0,0,4,0,0,0,0.0,2.0
Italian silver plated Art Deco pot,8,0,0,0,0,0,0,0,0.0,0.0
Dolores Bowl/Catch All (Negro),0,0,0,0,0,0,0,0,0.0,0.0
Circa Coffee Table in Breccia Oniciata Marble,32,0,3,0,18,0,1,0,0.0,0.7777777777777778
Vondel Side Table in Red Travertine,14,0,2,0,7,0,1,0,0.0,1.0
Silver Plated Casted Cake Stand,7,0,0,0,3,0,0,0,0.0,1.3333333333333333
I’d Cross The Earth To You - Painting,11,0,0,0,13,0,3,0,0.0,-0.15384615384615385
Nini Lamp,1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
Nini Lamp,1,0,0,0,3,0,0,0,0.0,-0.6666666666666666
4 White Biscuit Porcelain Vases | West Germany | 1960s,6,0,1,0,0,0,0,0,0.0,0.0
Tall Pedestal Stoneware Bowl,5,0,0,0,3,0,0,0,0.0,0.6666666666666666
Mica Vase,31,0,0,0,10,0,1,0,0.0,2.1
Pair of End Tables UFØ - Limited Edition Exclusivity,16,0,1,0,16,0,1,0,0.0,0.0
Bucatini Candle Holder (Midnight blue),4,0,0,0,7,0,1,0,0.0,-0.42857142857142855
Pair of Constant Nightstand in Oiled Iroko,23,0,0,0,24,0,1,0,0.0,-0.041666666666666664
Winston Drinks Cabinet in Walnut and Oak,74,0,4,0,53,0,0,0,0.0,0.39622641509433965
3117 Black Swivel Chair by Arne Jacobsen for Fritz Hansen,5,0,0,0,6,0,0,0,0.0,-0.16666666666666666
Amarante Mirror oval,14,0,0,0,5,0,0,0,0.0,1.8
Eudore Egg Cups - Set Of Two,9,0,0,0,7,0,0,0,0.0,0.2857142857142857
"Roma I Lamp Squared White Travertine, Green Linen Limited Edition",4,0,0,0,5,0,0,0,0.0,-0.2
"Couple - Acrylic, oil pastel, charcoal on canvas",10,0,2,0,13,0,0,0,0.0,-0.23076923076923078
Mi-RR 13,8,0,0,0,9,0,0,0,0.0,-0.1111111111111111
Artisan Ceramic Bowl,42,0,5,0,0,0,0,0,0.0,0.0
Calypso Carafe,37,0,2,0,22,0,5,0,0.0,0.6818181818181818
Vondel Coffee Table in Red Travertine,19,0,0,0,29,0,1,0,0.0,-0.3448275862068966
Casa Vase No1,4,0,0,0,2,0,0,0,0.0,1.0
"Roma I Lamp Red Travertine Green Linen, Limited Edition",40,0,0,0,15,0,0,0,0.0,1.6666666666666667
Antique Victorian candelabra,6,0,0,0,7,0,0,0,0.0,-0.14285714285714285
Vintage Marble Obelisk,9,0,1,0,6,0,0,0,0.0,0.5
Composition124,54,0,1,0,26,0,0,0,0.0,1.0769230769230769
The Aluminum Bookshelf,405,0,4,0,115,0,5,0,0.0,2.5217391304347827
Circa Coffee Table in Travertine,12,0,1,0,18,0,1,0,0.0,-0.3333333333333333
Pair of Constant Nightstand in Oiled Walnut,17,0,2,0,18,0,0,0,0.0,-0.05555555555555555
That Which Remains - Painting,10,0,0,0,7,0,1,0,0.0,0.42857142857142855
Athens Stool in Iroko,31,0,0,0,23,0,2,0,0.0,0.34782608695652173
Mirror Belgo Chrome in Beveled Glass and Brass,5,0,1,0,5,0,1,0,0.0,0.0
Ferrum Mirror,10,0,0,0,9,0,0,0,0.0,0.1111111111111111
"Lin Pendant, Steel, Small",8,0,0,0,8,0,0,0,0.0,0.0
First Light Table,9,0,0,0,8,0,0,0,0.0,0.125
Shadowed Abyss - Mixed media on canvas,63,0,1,0,13,0,1,0,0.0,3.8461538461538463
Pair of Brutalist Candleholders,10,0,1,0,6,0,0,0,0.0,0.6666666666666666
Galet Egg Cup,15,0,1,0,14,0,0,0,0.0,0.07142857142857142
Galet Egg Cup,15,0,1,0,14,0,0,0,0.0,0.07142857142857142
Vondel Side Table in Verde Guatemala,49,0,2,0,15,0,0,0,0.0,2.2666666666666666
La Terra - Vessel 02,27,0,0,0,31,0,1,0,0.0,-0.12903225806451613
La Terra - Vessel 04,18,0,0,0,19,0,0,0,0.0,-0.05263157894736842
Ceramic Floor Lamp by Cari Zalloni,18,0,0,0,6,0,1,0,0.0,2.0
"Rågång Carl Magnus, Swedish, 1984, Nr, 23/75",11,0,0,0,9,0,0,0,0.0,0.2222222222222222
Bisbi Wall Sconces Achille Castiglioni,12,0,0,0,4,0,0,0,0.0,2.0
Galileo 2.2,14,0,0,0,5,0,0,0,0.0,1.8
Wall Light Frame Miroir M,7,0,0,0,14,1,1,990,-1.0,-0.5
